Amount,vendor,date,description,category,Location
60.96,waw-airport,19.09.2018.,food,groceries,poland
420,dorm,20.09.2018.,accomodation,accomodation,poland
660,dorm,20.09.2018.,accomodation,accomodation,poland
13.99,bistro,21.09.2018.,food,groceries,poland
14.89,biedronka,21.09.2018.,food,groceries,poland
138.42,carrefour,21.09.2018.,food,groceries,poland
17.3,nowe-zoo,21.09.2018.,activity,activities,poland
10.38,malta-train,21.09.2018.,train,transport,poland
177.87,carrefour,22.09.2018.,supplies,groceries,poland
17.21,starbucks,22.09.2018.,food,groceries,poland
15.93,carrefour,22.09.2018.,food,groceries,poland
34.8,bar,22.09.2018.,alcohol,activities,poland
35.04,biedronka,24.09.2018.,food,groceries,poland
26,daniel-prlat,24.09.2018.,food,fastfood,poland
69.52,czupito,24.09.2018.,alcohol,activities,poland
38.28,breakfast,25.09.2018.,food,groceries,poland
34.08,museum,25.09.2018.,museum,sightseeing,poland
66.8,rossman,25.09.2018.,supplies,groceries,poland
293.52,kiwi,25.09.2018.,airplane,travel,poland
11.32,breakfast,26.09.2018.,food,groceries,poland
13.06,public-canteen,26.09.2018.,food,groceries,poland
41.59,biedronka,26.09.2018.,food,groceries,poland
72.01,cinema,26.09.2018.,activity,activities,poland
28.05,carrefour,27.09.2018.,food,groceries,denmark
101.35,carrefour,27.09.2018.,food,groceries,denmark
260,integration-week,28.09.2018.,activity,activities,denmark
70,esncard,28.09.2018.,esncard,travel,denmark
2.1,blinkee,29.09.2018.,blinkee,transport,denmark
17.51,pikapika,29.09.2018.,food,fastfood,denmark
17.51,pikapika,29.09.2018.,food,fastfood,denmark
2.62,jakdojade,29.09.2018.,tram,transport,denmark
154.42,decathlon,29.09.2018.,supplies,groceries,denmark
17.38,ikea,29.09.2018.,food,groceries,denmark
429.26,ikea,29.09.2018.,supplies,groceries,denmark
13.93,psychodela,01.10.2018.,alcohol,activities,denmark
23.35,carrefour,02.10.2018.,food,groceries,denmark
20.96,gravitacja,02.10.2018.,alcohol,activities,denmark
2.96,jakdojade,03.10.2018.,tram,transport,denmark
20.96,welonmucha,03.10.2018.,alcohol,activities,denmark
15.72,welonmucha,03.10.2018.,alcohol,activities,denmark
10.7,carrefour,04.10.2018.,food,groceries,denmark
66.12,newyorker,04.10.2018.,clothes,clothes,denmark
36,uber,05.10.2018.,uber,travel,denmark
82.58,flygbussarna,05.10.2018.,bus,travel,denmark
35.9,7eleven,05.10.2018.,food,fastfood,denmark
46.23,coop,05.10.2018.,food,groceries,denmark
72,malmo-kopenhagen,05.10.2018.,train,travel,denmark
170,den-blaa-planet,05.10.2018.,aquarium,sightseeing,denmark
64.25,bilka,05.10.2018.,food,groceries,denmark
24,metro,05.10.2018.,train,travel,denmark
20.79,coop,06.10.2018.,food,groceries,denmark
20,bastardcafe,06.10.2018.,food,fastfood,denmark
308,copenhagen-gothenburg,06.10.2018.,bus,travel,denmark
8,bus-station,07.10.2018.,coffee,fastfood,sweden
25.88,lidl,07.10.2018.,food,groceries,sweden
14.36,pressbyran,07.10.2018.,food,groceries,sweden
387,gothenburg-vasteras,07.10.2018.,bus,travel,sweden
18,ica,08.10.2018.,food,groceries,sweden
144,lidl,08.10.2018.,food,groceries,sweden
110,prison-island,09.10.2018.,activity,activities,sweden
72,cinema,11.10.2018.,activity,activities,sweden
34,ica,12.10.2018.,food,groceries,sweden
79.78,vasa,15.10.2018.,museum,sightseeing,sweden
83,pizzahut,15.10.2018.,food,fastfood,sweden
104.1,flygbussarna,15.10.2018.,bus,travel,sweden
660,dorm,16.10.2018.,accomodation,accomodation,sweden
34.88,orange,16.10.2018.,internet,unlabeled,sweden
29.36,biedronka,16.10.2018.,food,groceries,sweden
35.67,post-office,18.10.2018.,id-card,university,sweden
10.79,post-office,18.10.2018.,mail,unlabeled,sweden
2.61,jakdojade,18.10.2018.,tram,transport,sweden
2.61,jakdojade,18.10.2018.,tram,transport,poland
62.38,biedronka,19.10.2018.,food,groceries,poland
2.61,jakdojade,19.10.2018.,tram,transport,poland
60.81,biedronka,22.10.2018.,food,groceries,poland
17.3,beidronka,26.10.2018.,food,groceries,poland
71.21,voyager-katowi,27.10.2018.,bus,travel,sweden
31.12,cuba-libre,30.10.2018.,alcohol,activities,sweden
22.46,bp-piast,01.11.2018.,food,groceries,sweden
121.93,biedronka,02.11.2018.,food,groceries,sweden
128.07,carrefour,02.11.2018.,food,groceries,sweden
5.59,adventofcode,03.11.2018.,donation,online,sweden
34.06,adventofcode,03.11.2018.,donation,online,sweden
4.43,vending-machine,06.11.2018.,food,fastfood,germany
70.93,biedronka,06.11.2018.,food,groceries,germany
5.24,vending-machine,08.11.2018.,food,fastfood,germany
660,dorm,08.11.2018.,accomodation,accomodation,germany
155.54,paypal-dbver,08.11.2018.,bus,transport,germany
55,burger-king,09.11.2018.,food,fastfood,germany
67.41,primark,09.11.2018.,underwear,clothes,germany
75,corner-shop,09.11.2018.,gift,gifts,germany
92,mcdonalds,09.11.2018.,food,fastfood,germany
52.73,edeka,09.11.2018.,food,fastfood,germany
12,flixbus,10.11.2018.,bus,travel,germany
14.14,KFC,10.11.2018.,food,fastfood,germany
65,restaurant,10.11.2018.,food,fastfood,germany
22.29,Billa,10.11.2018.,food,groceries,czech
89,ecolines,11.11.2018.,bus,travel,czech
57,war-main-station,11.11.2018.,wc,travel,czech
30,jakdojade,11.11.2018.,bus,transport,czech
20.57,carrefour,11.11.2018.,food,groceries,czech
65,intercity,11.11.2018.,train,travel,czech
81.32,biedronka,13.11.2018.,food,groceries,czech
70.83,ryanair,14.11.2018.,airplane,travel,czech
34.71,sleep-planet,17.11.2018,supplies,decorations,czech
67.54,biedronka,17.11.2018,food,groceries,czech
17.8,elite-cukiern,18.11.2018,food,groceries,czech
103,carrefour,20.11.2018,food,groceries,czech
12.19,therms-malta,22.11.2018,activity,activities,czech
17.43,therms-malta,22.11.2018,activity,activities,czech
54.01,biedronka,22.11.2018,food,groceries,czech
128.21,zindo,23.11.2018,food,fastfood,czech
544.17,vans,23.11.2018,clothes,clothes,czech
233.2,flixbus,23.11.2018,bus,travel,czech
191.02,udemy,26.11.2018,course,online,czech
41,namecheap,26.11.2018,domain,online,czech
41.49,bakery,28.11.2018,food,groceries,czech
4.04,jakdojade,28.11.2018,bus,transport,czech
69,biedronka,28.11.2018,food,groceries,czech
153,dorm,28.11.2018,accomodation,accomodation,czech
18.5,jakdojade,29.11.2018,tram,transport,czech
40.11,tea-shop,29.11.2018,food,groceries,czech
38.32,rossmann,29.11.2018,supplies,groceries,czech
20.39,biedronka,29.11.2018,food,groceries,czech
34.88,pharmacy,30.11.2018,supplies,groceries,czech
9,bauhaus,30.11.2018,supplies,groceries,czech
20,atm,30.11.2018,withdrawal,bank,sweden
23,christmas-bar,30.11.2018,alcohol,activities,sweden
18,christmas-bar,30.11.2018,food,fastfood,sweden
75,flixbus,02.12.2018,bus,travel,sweden
4.5,gdynia-wc,03.12.2018,wc,wc,sweden
9,mcdonalds,03.12.2018,food,fastfood,sweden
5,pkp-skm,03.11.2018,train,travel,sweden
135,intercity,03.11.2018,train,travel,sweden
48,bobby-burgers,03.12.2018,food,fastfood,sweden
3.5,pkp-skm,03.12.2018,train,travel,sweden
8,biedronka,03.12.2018,food,groceries,sweden
130,flixbus,03.12.2018,bus,travel,sweden
4.5,krakow-wc,04.12.2018,wc,wc,sweden
31.5,pizzaeria,04.12.2018,food,fastfood,sweden
51.5,sereno,04.12.2018,accomodation,travel,germany
103,flixbus,05.12.2018,bus,travel,germany
69,biedronka,05.12.2018,food,groceries,germany
52,multikino,06.12.2018,cinema,activities,germany
54,wood-shop,06.12.2018,supplies,groceries,germany
16.5,biedronka,06.12.2018,food,groceries,germany
5,jakdojade,07.12.2018,bus,transport,germany
21,biedronka,07.12.2018,food,groceries,germany
15,tiger,07.12.2018,gifts,gifts,germany
665,dorm,11.12.2018,accomodation,accomodation,germany
172,biedronka,11.12.2018,food,groceries,germany
4,jakdojade,13.12.2018,tram,transport,germany
50,tiger,15.12.2018,gifts,gifts,germany
74,biedronka,15.12.2018,food,groceries,germany
4,jakdojade,18.12.2018,bus,transport,germany
17,ber-bus,18.12.2018,bus,travel,germany
11,ber-bus,18.12.2018,bus,travel,sweden
41,ber-mil-train,18.12.2018,train,travel,sweden
52,mcdonalds,18.12.2018,food,fastfood,sweden
7,portello,18.12.2018,food,groceries,sweden
259,flixbus,18.12.2018,bus,travel,sweden
38,konzum,22.12.2018,food,groceries,sweden
15,ice-skating,23.12.2018,ice-skating,activities,sweden
15,ice-skating,23.12.2018,ice-skating,activities,sweden
100,ina,23.12.2018,gas,car,sweden
10,konzum,24.12.2018,food,groceries,sweden
100,ina,27.12.2018,gas,car,sweden
120,ice-skating,27.12.2018,ice-skating,activities,sweden
200,ina,27.12.2018,gas,car,germany
12,coffee-shop,06.01.2019.,coffee,activities,poland
